accession_wave,entry_date,accession_label,members_after_accession_wave,joined_as,countries
1,1958-01-01,Fondatori / Trattati di Roma,6,EEC,"Belgium, France, Germany, Italy, Luxembourg, Netherlands"
2,1973-01-01,Primo allargamento,9,EC,"Denmark, Ireland"
2,1973-01-01,Primo allargamento / poi recesso,9,EC,United Kingdom
3,1981-01-01,Allargamento mediterraneo I,10,EC,Greece
4,1986-01-01,Allargamento iberico,12,EC,"Portugal, Spain"
5,1995-01-01,Allargamento EFTA / post Guerra fredda,15,EU,"Austria, Finland, Sweden"
6,2004-05-01,Grande allargamento a est e Mediterraneo,25,EU,"Cyprus, Czechia, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, Slovenia"
7,2007-01-01,Allargamento balcanico I,27,EU,"Bulgaria, Romania"
8,2013-07-01,Allargamento balcanico II,28,EU,Croatia
